player_id,"last_name, first_name",full_name,Team,pa,ab,hit,single,double,triple,home_run,strikeout,walk,b_hit_by_pitch,b_rbi,k_percent,bb_percent,batting_avg,on_base_percent,slg_percent,babip,isolated_power,xba,xslg,xwoba,xobp
645277,"Albies, Ozzie",Ozzie Albies,ATL,667,603,145,104,23,2,16,94,55,4,74,14.1,8.2,0.24,0.306,0.365,0.259,0.125,0.243,0.367,0.299,0.306
672580,"Garcia, Maikel",Maikel Garcia,KC,666,595,170,110,39,5,16,84,62,1,74,12.6,9.3,0.286,0.351,0.449,0.308,0.16300000000000003,0.276,0.422,0.335,0.351
664023,"Happ, Ian",Ian Happ,CHC,663,569,138,83,32,0,23,151,87,2,79,22.8,13.1,0.243,0.342,0.42,0.287,0.177,0.256,0.457,0.354,0.342
605141,"Betts, Mookie",Mookie Betts,LAD,663,589,152,107,23,2,20,68,61,3,82,10.3,9.2,0.258,0.326,0.406,0.258,0.14800000000000002,0.267,0.422,0.33,0.326
621493,"Ward, Taylor",Taylor Ward,LAA,663,579,132,63,31,2,36,175,75,3,103,26.4,11.3,0.228,0.317,0.475,0.257,0.24699999999999997,0.231,0.45,0.333,0.317
668930,"Turang, Brice",Brice Turang,MIL,659,584,168,120,28,2,18,150,66,2,81,22.8,10.0,0.288,0.359,0.435,0.356,0.14700000000000002,0.262,0.429,0.335,0.359
661388,"Contreras, William",William Contreras,MIL,659,566,147,102,28,0,17,120,84,3,76,18.2,12.7,0.26,0.355,0.399,0.299,0.139,0.248,0.393,0.328,0.355
553993,"Suárez, Eugenio",Eugenio Suárez,SEA,657,588,134,57,28,0,49,196,46,16,118,29.8,7.0,0.228,0.298,0.526,0.243,0.29800000000000004,0.211,0.463,0.32,0.298
641355,"Bellinger, Cody",Cody Bellinger,NYY,656,588,160,101,25,5,29,90,57,2,98,13.7,8.7,0.272,0.334,0.48,0.274,0.20799999999999996,0.25,0.425,0.323,0.334
682985,"Greene, Riley",Riley Greene,DET,655,600,155,87,31,1,36,201,46,4,111,30.7,7.0,0.258,0.313,0.493,0.323,0.235,0.236,0.491,0.332,0.313
641487,"Crawford, J.P.",J.P. Crawford,SEA,654,570,151,115,24,0,12,122,74,3,58,18.7,11.3,0.265,0.352,0.37,0.318,0.10499999999999998,0.266,0.386,0.328,0.352
514888,"Altuve, Jose",Jose Altuve,HOU,654,588,156,105,24,1,26,109,55,4,77,16.7,8.4,0.265,0.329,0.442,0.283,0.177,0.237,0.384,0.3,0.329
596115,"Story, Trevor",Trevor Story,BOS,654,612,161,107,29,0,25,176,33,7,96,26.9,5.0,0.263,0.308,0.433,0.33,0.16999999999999998,0.249,0.421,0.311,0.308
668804,"Reynolds, Bryan",Bryan Reynolds,PIT,654,587,144,87,38,3,16,173,57,7,73,26.5,8.7,0.245,0.318,0.402,0.319,0.15700000000000003,0.259,0.447,0.338,0.318
691406,"Caminero, Junior",Junior Caminero,TB,653,602,159,86,28,0,45,125,41,3,110,19.1,6.3,0.264,0.311,0.535,0.26,0.271,0.255,0.501,0.346,0.311
607043,"Nimmo, Brandon",Brandon Nimmo,NYM,652,587,154,102,27,0,25,141,50,7,92,21.6,7.7,0.262,0.324,0.436,0.301,0.174,0.252,0.419,0.321,0.324
673548,"Suzuki, Seiya",Seiya Suzuki,CHC,651,571,140,74,31,3,32,164,71,1,103,25.2,10.9,0.245,0.326,0.478,0.282,0.23299999999999998,0.247,0.494,0.352,0.326
650490,"Díaz, Yandy",Yandy Díaz,TB,651,583,175,120,29,1,25,92,57,6,83,14.1,8.8,0.3,0.366,0.482,0.318,0.182,0.286,0.46,0.354,0.366
683002,"Henderson, Gunnar",Gunnar Henderson,BAL,651,577,158,102,34,5,17,137,62,7,68,21.0,9.5,0.274,0.349,0.438,0.329,0.16399999999999998,0.276,0.425,0.341,0.349
663538,"Hoerner, Nico",Nico Hoerner,CHC,649,599,178,138,29,4,7,49,39,7,61,7.6,6.0,0.297,0.345,0.394,0.313,0.09700000000000003,0.292,0.391,0.322,0.345
702616,"Holliday, Jackson",Jackson Holliday,BAL,649,586,142,101,21,3,17,140,56,6,55,21.6,8.6,0.242,0.314,0.375,0.291,0.133,0.241,0.404,0.313,0.314
679529,"Torkelson, Spencer",Spencer Torkelson,DET,649,563,135,76,27,1,31,169,72,9,78,26.0,11.1,0.24,0.333,0.456,0.283,0.21600000000000003,0.226,0.456,0.334,0.333
691718,"Crow-Armstrong, Pete",Pete Crow-Armstrong,CHC,647,591,146,74,37,4,31,155,29,9,95,24.0,4.5,0.247,0.287,0.481,0.276,0.23399999999999999,0.242,0.475,0.321,0.287
621020,"Swanson, Dansby",Dansby Swanson,CHC,645,590,144,93,24,3,24,168,47,2,77,26.0,7.3,0.244,0.3,0.417,0.298,0.173,0.267,0.477,0.345,0.3
592885,"Yelich, Christian",Christian Yelich,MIL,644,573,151,101,21,0,29,167,64,6,103,25.9,9.9,0.264,0.343,0.452,0.323,0.188,0.245,0.439,0.33,0.343
682998,"Carroll, Corbin",Corbin Carroll,ARI,642,564,146,66,32,17,31,153,67,7,84,23.8,10.4,0.259,0.343,0.541,0.299,0.28200000000000003,0.262,0.529,0.372,0.343
521692,"Perez, Salvador",Salvador Perez,KC,641,597,141,76,35,0,30,125,28,12,100,19.5,4.4,0.236,0.284,0.446,0.251,0.21000000000000002,0.269,0.534,0.357,0.284
671739,"II, Michael Harris",Michael Harris II,ATL,641,611,152,100,26,6,20,128,16,3,86,20.0,2.5,0.249,0.268,0.409,0.281,0.15999999999999998,0.268,0.438,0.315,0.268
572233,"Walker, Christian",Christian Walker,HOU,640,585,139,87,24,1,27,177,40,11,88,27.7,6.2,0.238,0.297,0.421,0.291,0.183,0.233,0.435,0.314,0.297
607208,"Turner, Trea",Trea Turner,PHI,639,589,179,126,31,7,15,107,43,5,69,16.7,6.7,0.304,0.355,0.457,0.35,0.15300000000000002,0.27,0.41,0.321,0.355
682928,"Abrams, CJ",CJ Abrams,WSH,635,580,149,90,35,5,19,125,37,14,60,19.7,5.8,0.257,0.315,0.433,0.296,0.176,0.245,0.401,0.309,0.315
671732,"Butler, Lawrence",Lawrence Butler,OAK,630,569,133,80,30,2,21,179,59,0,63,28.4,9.4,0.234,0.306,0.404,0.304,0.17,0.23,0.394,0.305,0.306
650402,"Torres, Gleyber",Gleyber Torres,DET,628,532,136,98,22,0,16,101,85,4,74,16.1,13.5,0.256,0.358,0.387,0.284,0.131,0.269,0.462,0.363,0.358
666182,"Bichette, Bo",Bo Bichette,TOR,628,582,181,118,44,1,18,91,40,3,94,14.5,6.4,0.311,0.357,0.483,0.342,0.172,0.295,0.473,0.353,0.357
518692,"Freeman, Freddie",Freddie Freeman,LAD,627,556,164,99,39,2,24,128,60,6,90,20.4,9.6,0.295,0.367,0.502,0.342,0.20700000000000002,0.268,0.467,0.35,0.367
691016,"Soderstrom, Tyler",Tyler Soderstrom,OAK,624,561,155,95,34,1,25,141,55,6,93,22.6,8.8,0.276,0.346,0.474,0.327,0.19799999999999995,0.261,0.457,0.341,0.346
681624,"Pages, Andy",Andy Pages,LAD,624,581,158,103,27,1,27,135,29,8,86,21.6,4.6,0.272,0.313,0.461,0.308,0.189,0.258,0.428,0.316,0.313
669364,"Edwards, Xavier",Xavier Edwards,MIA,619,561,159,131,20,5,3,88,49,3,43,14.2,7.9,0.283,0.343,0.353,0.33,0.07,0.262,0.332,0.295,0.343
808982,"Lee, Jung Hoo",Jung Hoo Lee,SF,617,560,149,98,31,12,8,71,47,6,55,11.5,7.6,0.266,0.327,0.407,0.291,0.14099999999999996,0.277,0.385,0.321,0.327
663993,"Lowe, Nathaniel",Nathaniel Lowe,BOS,609,540,123,79,23,3,18,159,62,2,84,26.1,10.2,0.228,0.307,0.381,0.285,0.153,0.229,0.373,0.303,0.307
647304,"Naylor, Josh",Josh Naylor,SEA,604,543,160,110,29,1,20,83,48,4,92,13.7,7.9,0.295,0.353,0.462,0.315,0.16700000000000004,0.267,0.432,0.332,0.353
663656,"Tucker, Kyle",Kyle Tucker,CHC,597,500,133,82,25,4,22,88,87,4,73,14.7,14.6,0.266,0.377,0.464,0.282,0.198,0.27,0.483,0.372,0.377
683011,"Volpe, Anthony",Anthony Volpe,NYY,596,539,114,59,32,4,19,150,43,4,72,25.2,7.2,0.212,0.272,0.391,0.252,0.17900000000000002,0.223,0.405,0.301,0.272
672640,"Lopez, Otto",Otto Lopez,MIA,594,544,134,98,21,0,15,82,44,3,77,13.8,7.4,0.246,0.305,0.368,0.264,0.122,0.269,0.434,0.33,0.305
686217,"Frelick, Sal",Sal Frelick,MIL,594,528,152,117,20,3,12,80,47,7,63,13.5,7.9,0.288,0.351,0.405,0.317,0.11700000000000005,0.255,0.339,0.299,0.351
683737,"Busch, Michael",Michael Busch,CHC,592,524,137,73,25,5,34,139,56,10,90,23.5,9.5,0.261,0.343,0.523,0.292,0.262,0.262,0.548,0.378,0.343
542303,"Ozuna, Marcell",Marcell Ozuna,ATL,592,487,113,73,19,0,21,144,94,3,68,24.3,15.9,0.232,0.355,0.4,0.28,0.168,0.239,0.448,0.354,0.355
592206,"Castellanos, Nick",Nick Castellanos,PHI,589,547,137,91,27,2,17,133,32,4,72,22.6,5.4,0.25,0.294,0.4,0.298,0.15000000000000002,0.242,0.408,0.302,0.294
694192,"Chourio, Jackson",Jackson Chourio,MIL,589,549,148,88,35,4,21,121,30,3,78,20.5,5.1,0.27,0.308,0.463,0.308,0.193,0.247,0.426,0.307,0.308
687597,"Beck, Jordan",Jordan Beck,COL,588,539,139,91,27,5,16,174,43,4,53,29.6,7.3,0.258,0.317,0.416,0.351,0.15799999999999997,0.231,0.395,0.302,0.317
676391,"Clement, Ernie",Ernie Clement,TOR,588,545,151,105,35,2,9,61,27,4,50,10.4,4.6,0.277,0.313,0.398,0.296,0.121,0.26,0.359,0.289,0.313
678882,"Rafaela, Ceddanne",Ceddanne Rafaela,BOS,587,546,136,82,34,4,16,117,28,8,63,19.9,4.8,0.249,0.295,0.414,0.289,0.16499999999999998,0.242,0.416,0.305,0.295
641857,"McMahon, Ryan",Ryan McMahon,NYY,586,509,109,65,23,1,20,189,70,4,53,32.3,11.9,0.214,0.312,0.381,0.294,0.167,0.219,0.419,0.322,0.312
543807,"Springer, George",George Springer,TOR,586,498,154,94,27,1,32,111,69,8,84,18.9,11.8,0.309,0.399,0.56,0.34,0.25100000000000006,0.291,0.571,0.404,0.399
682663,"Ramírez, Agustín",Agustín Ramírez,MIA,585,537,124,69,33,1,21,113,36,8,67,19.3,6.2,0.231,0.287,0.413,0.253,0.18199999999999997,0.259,0.457,0.332,0.287
621043,"Correa, Carlos",Carlos Correa,HOU,584,537,148,106,29,0,13,113,45,1,52,19.3,7.7,0.276,0.332,0.402,0.328,0.126,0.28,0.439,0.338,0.332
663457,"Nootbaar, Lars",Lars Nootbaar,STL,583,509,119,81,24,1,13,119,64,6,48,20.4,11.0,0.234,0.325,0.361,0.279,0.12699999999999997,0.231,0.4,0.317,0.325
663757,"Grisham, Trent",Trent Grisham,NYY,581,494,116,72,9,1,34,137,82,4,74,23.6,14.1,0.235,0.348,0.464,0.253,0.22900000000000004,0.248,0.498,0.37,0.348
547180,"Harper, Bryce",Bryce Harper,PHI,580,501,131,72,32,0,27,121,70,6,75,20.9,12.1,0.261,0.357,0.487,0.292,0.22599999999999998,0.268,0.492,0.368,0.357
696100,"Goodman, Hunter",Hunter Goodman,COL,579,540,150,86,28,5,31,152,33,4,91,26.3,5.7,0.278,0.323,0.52,0.331,0.242,0.242,0.463,0.322,0.323
680574,"McLain, Matt",Matt McLain,CIN,577,510,112,79,18,0,15,167,55,5,50,28.9,9.5,0.22,0.3,0.343,0.292,0.12300000000000003,0.213,0.362,0.291,0.3
694671,"Langford, Wyatt",Wyatt Langford,TEX,573,489,118,70,25,1,22,151,74,5,62,26.4,12.9,0.241,0.344,0.431,0.299,0.19,0.239,0.448,0.346,0.344
666176,"Adell, Jo",Jo Adell,LAA,573,526,124,68,18,1,37,151,33,10,98,26.4,5.8,0.236,0.293,0.485,0.257,0.249,0.26,0.549,0.365,0.293
663647,"Hayes, Ke'Bryan",Ke'Bryan Hayes,CIN,570,527,124,100,16,3,5,111,36,5,49,19.5,6.3,0.235,0.29,0.306,0.289,0.07100000000000001,0.238,0.342,0.282,0.29
678246,"Vargas, Miguel",Miguel Vargas,CWS,569,504,118,68,32,2,16,100,56,6,60,17.6,9.8,0.234,0.316,0.401,0.261,0.167,0.237,0.407,0.319,0.316
668715,"Steer, Spencer",Spencer Steer,CIN,568,509,121,77,21,2,21,129,51,5,75,22.7,9.0,0.238,0.312,0.411,0.277,0.173,0.219,0.361,0.293,0.312
663697,"India, Jonathan",Jonathan India,KC,567,497,116,78,29,0,9,106,54,13,45,18.7,9.5,0.233,0.323,0.346,0.279,0.11299999999999996,0.238,0.378,0.314,0.323
663616,"Larnach, Trevor",Trevor Larnach,MIN,567,503,126,84,24,1,17,122,53,4,60,21.5,9.3,0.25,0.323,0.404,0.295,0.15400000000000003,0.251,0.403,0.318,0.323
673237,"Diaz, Yainer",Yainer Diaz,HOU,567,542,139,93,25,1,20,95,20,2,70,16.8,3.5,0.256,0.284,0.417,0.277,0.16099999999999998,0.268,0.465,0.326,0.284
694384,"Schanuel, Nolan",Nolan Schanuel,LAA,564,488,129,93,23,1,12,71,59,10,53,12.6,10.5,0.264,0.353,0.389,0.286,0.125,0.262,0.388,0.327,0.353
575929,"Contreras, Willson",Willson Contreras,STL,563,490,126,74,31,1,20,142,44,23,80,25.2,7.8,0.257,0.344,0.447,0.319,0.19,0.257,0.488,0.358,0.344
669701,"Smith, Josh",Josh Smith,TEX,563,495,124,89,23,2,10,100,55,8,35,17.8,9.8,0.251,0.335,0.366,0.295,0.11499999999999999,0.247,0.366,0.31,0.335
